,error-test,error-train,fold,l2reg,model,n_samples-test,n_samples-train,site_index,std-test,std-train
68,54.086614064,95.640249364,2,0.0,nam,64,572,2,48.2960067324,161.286498167
69,54.6667735576,92.8851500776,3,0.0,mix,63,573,2,56.3942689272,170.288501127
70,57.9002775927,146.386274926,3,0.0,hrrr,63,573,2,51.548661313,320.444196066
71,67.5610318663,94.6360426944,3,0.0,nam,63,573,2,56.2091262944,161.304809444
72,204.291059189,67.015133947,4,0.0,mix,64,572,2,262.189229999,138.063850264
73,203.48800488,131.158872905,4,0.0,hrrr,64,572,2,278.445001099,315.148717814
74,183.300607872,75.5978122147,4,0.0,nam,64,572,2,240.975002003,122.565468361
75,117.924486632,92.5321571622,5,0.0,mix,64,572,2,178.162990968,166.95043691
76,329.50528538,98.425261918,5,0.0,hrrr,64,572,2,523.920827661,185.394401064
77,56.9770441389,95.4522853696,5,0.0,nam,64,572,2,52.8342279357,161.296686798
78,87.3907827736,90.0293957681,6,0.0,mix,63,573,2,162.235582965,167.771207996
79,87.6313673688,144.752265741,6,0.0,hrrr,63,573,2,159.214856816,320.025800774
80,92.2378155594,92.3169630042,6,0.0,nam,63,573,2,151.572416271,157.922336116
81,64.3017375123,92.2234548648,7,0.0,mix,64,572,2,99.0942823928,170.209009414
82,67.7734641691,146.019563605,7,0.0,hrrr,64,572,2,105.13851232,320.518655085
83,74.3944272833,94.1016594249,7,0.0,nam,64,572,2,92.0122151502,161.010179882
84,53.9290519085,92.8867629914,8,0.0,mix,63,573,2,98.6773845623,170.459903298
85,56.8825772045,146.430136829,8,0.0,hrrr,63,573,2,97.693614884,320.370437534
86,63.5157516185,94.9435593972,8,0.0,nam,63,573,2,91.1836880186,160.883246973
87,71.8392320683,91.5774130139,9,0.0,mix,64,572,2,127.293261863,171.672986346
88,69.9952974445,145.902241558,9,0.0,hrrr,64,572,2,122.135763,320.442010262
89,69.4830205297,94.5208283753,9,0.0,nam,64,572,2,113.356004727,160.344757033
90,189.798257247,140.128383105,0,0.0,mix,67,605,3,244.390708474,197.528216271
91,211.747728487,203.312341243,0,0.0,hrrr,67,605,3,252.157129096,322.589257745
92,250.275220372,157.823459624,0,0.0,nam,67,605,3,319.543254754,248.206745369
93,115.043468206,148.132506013,1,0.0,mix,67,605,3,136.475548107,198.316880593
94,155.552546772,208.858124506,1,0.0,hrrr,67,605,3,202.181030886,324.261297228
95,114.282250279,174.351994261,1,0.0,nam,67,605,3,141.514767206,266.147562578
96,129.165459959,146.883388856,2,0.0,mix,68,604,3,159.188867707,196.994149466
97,126.276915078,211.146318281,2,0.0,hrrr,68,604,3,182.162399553,324.513166796
98,141.175711359,172.202970509,2,0.0,nam,68,604,3,228.122456294,263.021143919
99,117.277213281,148.229043705,3,0.0,mix,67,605,3,126.802710472,195.289612029
100,89.6550114707,213.09898652,3,0.0,hrrr,67,605,3,173.362875372,324.139325603
101,79.4711278487,176.481046173,3,0.0,nam,67,605,3,162.165649032,265.299202273
102,127.842861202,146.978437169,4,0.0,mix,67,605,3,167.934714942,196.328364834
103,146.729708272,209.563996213,4,0.0,hrrr,67,605,3,258.976451346,321.8480907
104,124.082370113,173.608525649,4,0.0,nam,67,605,3,212.338047341,263.831126939
105,174.446264662,143.854427663,5,0.0,mix,67,605,3,220.438170112,191.984358466
106,303.200046239,190.054286189,5,0.0,hrrr,67,605,3,455.819757251,280.459082349
107,87.9391771604,176.035692282,5,0.0,nam,67,605,3,158.171638945,265.497398059
108,218.924530611,135.171282925,6,0.0,mix,67,605,3,286.445182329,182.439139087
109,292.932377517,191.829305252,6,0.0,hrrr,67,605,3,370.868368762,307.523848397
110,267.328215194,154.695647464,6,0.0,nam,67,605,3,343.722906954,240.055755893
111,122.829670024,147.555570298,7,0.0,mix,68,604,3,140.29730662,196.765742176
112,219.113465811,202.417433888,7,0.0,hrrr,68,604,3,324.982007433,316.512882408
113,116.989225077,174.2321483,7,0.0,nam,68,604,3,170.257930163,265.616783126
114,179.731927233,141.450331758,8,0.0,mix,67,605,3,209.765582282,203.456581943
115,226.465792759,201.548130264,8,0.0,hrrr,67,605,3,286.203720024,320.290024171
116,237.038635618,160.070556417,8,0.0,nam,67,605,3,282.282841036,256.009561644
117,117.467893761,147.88646296,9,0.0,mix,67,605,3,152.874821078,199.052757321
118,159.860284181,208.497594316,9,0.0,hrrr,67,605,3,214.04950711,323.954289359
119,143.671173745,171.927519857,9,0.0,nam,67,605,3,221.852884731,263.429948253
120,182.524258433,180.004994075,0,0.0,mix,62,558,4,225.103949792,258.236845249
121,265.702285616,247.844050853,0,0.0,hrrr,62,558,4,336.899036751,389.817631557
122,257.564178032,247.565993185,0,0.0,nam,62,558,4,322.847298582,361.672651695
123,137.573036324,184.290264814,1,0.0,mix,62,558,4,204.72526899,252.144707573
124,170.903580111,256.954326416,1,0.0,hrrr,62,558,4,326.576940076,389.987947426
125,198.922266035,253.502033022,1,0.0,nam,62,558,4,306.51282514,362.556898205
126,176.051020876,180.617408164,2,0.0,mix,62,558,4,243.252451652,254.845161698
127,235.96488938,251.165801249,2,0.0,hrrr,62,558,4,329.442510067,390.346237667
128,277.316375886,245.183655044,2,0.0,nam,62,558,4,364.432363601,357.487257242
129,182.906116029,179.880108861,3,0.0,mix,62,558,4,263.585472386,250.212700925
130,187.529225243,255.662658846,3,0.0,hrrr,62,558,4,310.219513762,391.159412175
131,260.952474729,247.171420627,3,0.0,nam,62,558,4,409.675107144,351.040309332
132,209.511477787,176.767031203,4,0.0,mix,62,558,4,292.436534104,250.269430083
133,273.969149934,246.841980798,4,0.0,hrrr,62,558,4,383.362458615,385.613772196
134,313.757918159,240.2534688,4,0.0,nam,62,558,4,407.671885977,350.460033622
135,204.862916576,178.315190747,5,0.0,mix,62,558,4,281.846415445,250.490256093
136,329.620885616,239.162389796,5,0.0,hrrr,62,558,4,507.518144595,360.526359981
137,170.652023246,255.781478264,5,0.0,nam,62,558,4,250.839521413,364.997872092
138,177.708808327,180.502360658,6,0.0,mix,62,558,4,231.850185572,256.633538477
139,313.931293799,241.49647093,6,0.0,hrrr,62,558,4,426.695719136,379.24369802
140,245.783093265,248.893164432,6,0.0,nam,62,558,4,350.88195689,359.137046089
141,159.739483325,182.329960434,7,0.0,mix,62,558,4,189.12494747,253.012905847
142,164.972975416,257.384641658,7,0.0,hrrr,62,558,4,235.194833499,393.756232315
143,220.688719157,251.492452699,7,0.0,nam,62,558,4,287.319770588,363.930502188
144,167.40893985,181.866141306,8,0.0,mix,62,558,4,194.64597616,250.18926013
145,181.30053062,256.161382307,8,0.0,hrrr,62,558,4,240.743369549,393.804771231
146,175.109836368,255.446480555,8,0.0,nam,62,558,4,250.581596221,365.069557862
147,233.299432969,173.26182724,9,0.0,mix,62,558,4,334.316956095,238.067798072
148,300.728354597,243.35621427,9,0.0,hrrr,62,558,4,445.839389417,376.26442609
149,315.732823403,239.965826009,9,0.0,nam,62,558,4,435.93939325,344.774533225
150,175.40923507,167.248544736,0,0.0,mix,63,566,5,255.022761354,235.571149473
151,249.217416886,259.760260518,0,0.0,hrrr,63,566,5,390.038952064,363.918957349
152,234.809792479,225.500597227,0,0.0,nam,63,566,5,332.007090694,330.942506031
153,135.838456525,171.387280279,1,0.0,mix,63,566,5,160.176115959,239.285753767
154,181.712590519,265.919742974,1,0.0,hrrr,63,566,5,282.712696566,372.557261981
155,139.527423583,234.138000158,1,0.0,nam,63,566,5,241.433863439,336.661432576
156,145.346933933,170.471929374,2,0.0,mix,63,566,5,180.03205592,238.888836108
157,206.346906076,263.911457693,2,0.0,hrrr,63,566,5,312.919733782,371.160669471
158,174.411563744,231.520238496,2,0.0,nam,63,566,5,259.340914477,336.307331754
159,141.049113766,171.177326107,3,0.0,mix,63,566,5,153.316889008,236.868442715
160,185.680667256,265.6144589,3,0.0,hrrr,63,566,5,305.384086698,371.366859327
161,124.477634436,235.080522456,3,0.0,nam,63,566,5,227.541426774,336.966307579
162,249.558699769,157.141921683,4,0.0,mix,62,567,5,331.649298352,221.878012619
163,350.753229791,246.585980915,4,0.0,hrrr,62,567,5,441.865558097,353.03176084
164,336.33556484,210.991608748,4,0.0,nam,62,567,5,432.330644873,308.365701255
165,183.850946392,166.336667882,5,0.0,mix,63,566,5,219.607259726,241.716509973
166,320.321375085,250.933927895,5,0.0,hrrr,63,566,5,408.047577344,360.423538657
167,293.523593046,217.710155596,5,0.0,nam,63,566,5,355.073656881,326.971278791
168,196.899886086,164.964057107,6,0.0,mix,63,566,5,257.10151566,238.885996317
169,342.839434485,247.599822173,6,0.0,hrrr,63,566,5,413.885074858,358.595531279
170,273.114573033,220.646617506,6,0.0,nam,63,566,5,356.081110049,327.421424751
171,186.15661356,166.188166363,7,0.0,mix,63,566,5,235.269668445,233.492254606
172,247.399307126,259.953635919,7,0.0,hrrr,63,566,5,339.510440531,369.475418302
173,202.597059484,228.951629631,7,0.0,nam,63,566,5,306.396497691,333.400322791
174,124.808012845,172.249268213,8,0.0,mix,63,566,5,235.478777064,237.611865848
175,244.810019582,260.226345631,8,0.0,hrrr,63,566,5,318.433571368,371.112217885
176,202.166929438,228.993946341,8,0.0,nam,63,566,5,303.104434622,333.676839174
177,140.387118254,171.100137027,9,0.0,mix,63,566,5,168.404478932,240.213057455
178,183.776079929,265.761855145,9,0.0,hrrr,63,566,5,249.05011073,373.947113617
179,193.584114776,229.81797294,9,0.0,nam,63,566,5,264.645230736,336.226980583
180,98.7227957354,163.116387819,0,0.0,mix,62,553,6,152.456837314,218.294921246
181,185.981756298,243.393690491,0,0.0,hrrr,62,553,6,247.804290743,345.040611579
182,167.667244454,241.337940997,0,0.0,nam,62,553,6,227.994123218,336.160062138
183,157.970108865,157.907159798,1,0.0,mix,61,554,6,178.029260923,215.745488303
184,246.488884631,237.307240577,1,0.0,hrrr,61,554,6,323.260633916,340.403353472
185,170.541781556,241.003248412,1,0.0,nam,61,554,6,238.760826272,335.694991819
